code_departement,code_commune,nom_commune,piece_bucket,ref_m2,ref_raw,mean_w,n_mut,n_eff,mad_w,p25,p75,surf_med,age_med_j,Loyer,source_level
92,92002,Antony,1,6393.959901021182,6393.959901021182,6495.090184021703,126,68.36182990413604,1134.6840136056976,5601.4572409311795,7146.190477611914,27.0,340,25.9079205136989,commune
92,92002,Antony,2,5865.532914805451,5865.532914805451,5940.985354882403,170,89.19783467309992,1054.1710548466654,5070.450316195903,6484.291164166894,45.0,520,25.9079205136989,commune
92,92002,Antony,3,5078.125000000005,5078.125000000005,5239.542501115011,364,195.75516452273433,1305.151312499993,4222.775563286879,5969.093749999996,65.0,329,21.3723685539802,commune
92,92002,Antony,4,5494.873737960258,5494.873737960258,5574.508006748412,203,106.27868328450386,1623.291350804659,4473.244247326494,6646.639847429465,85.0,352,21.3723685539802,commune
92,92002,Antony,5,5027.775680794362,5027.775680794362,5308.404734750524,53,30.602665338006645,1462.2569291190496,4329.882276876545,6061.141319219832,102.0,316,21.3723685539802,commune
92,92004,Asnières-sur-Seine,1,6983.391081533439,6983.391081533439,7000.038142249224,175,88.92873009094129,1244.6346491616428,6143.896511749517,7888.512145746387,25.0,682,27.4570200761952,commune
92,92004,Asnières-sur-Seine,2,6544.730388504819,6544.730388504819,6533.747287057288,392,197.01700836932002,1054.162838861508,5840.250521161244,7267.646661426005,42.0,759,27.4570200761952,commune
92,92004,Asnières-sur-Seine,3,6178.129293468944,6178.129293468944,6172.074215967113,376,189.71728084415125,1296.0626028306383,5345.553940397777,7122.979231271956,62.0,431,22.8938000852758,commune
92,92004,Asnières-sur-Seine,4,6652.278101933633,6652.278101933633,6677.909492521485,177,86.67216151014775,1287.9576434017847,5876.104173958338,7571.4285714285725,82.0,711,22.8938000852758,commune
92,92004,Asnières-sur-Seine,5,6679.744055325098,6679.744055325098,6483.052091481045,34,16.3417096957784,1831.8685978600624,5444.165613493139,7909.530973004812,107.0,423,22.8938000852758,commune
92,92007,Bagneux,1,5946.737906736677,5946.737906736677,6007.19949751673,49,24.806499701184634,1026.19083918822,5261.093884917344,6753.82551529258,28.0,344,10.99922356996905,commune
92,92007,Bagneux,2,5645.572371461328,5645.572371461328,5686.477965641351,128,61.21458889042802,538.9901974202696,5297.814842627866,6009.116279069765,42.0,483,10.99922356996905,commune
92,92007,Bagneux,3,4884.53039368034,4884.53039368034,4927.081515115661,136,75.23764559360421,911.3462396489762,4283.221362110727,5546.874999999996,62.0,525,8.32425299548974,commune
92,92007,Bagneux,4,4848.344582353261,4848.344582353261,4909.952801219549,76,43.82336853439575,675.482644757537,4402.696836665035,5416.7969887496565,82.0,595,8.32425299548974,commune
92,92009,Bois-Colombes,1,6595.303338707406,6595.303338707406,6653.871393497689,60,27.812364465824004,903.4128738360904,5982.62573117015,7204.646974102044,22.0,427,27.8763858541119,commune
92,92009,Bois-Colombes,2,6179.219418560178,6179.219418560178,6416.017157897263,120,60.987330389296794,890.2656988320043,5845.77993416611,7233.209091810314,40.0,665,27.8763858541119,commune
92,92009,Bois-Colombes,3,6508.4655862612735,6508.4655862612735,6519.531010702311,121,59.816861795372375,759.8710259905586,5995.939600836642,7050.250215229694,63.0,723,23.378701082599,commune
92,92009,Bois-Colombes,4,6587.212052390201,6587.212052390201,6545.59387984381,59,28.479404305997676,1319.1479262830248,5455.987602925813,7407.327674781382,86.0,686,23.378701082599,commune
92,92012,Boulogne-Billancourt,1,8046.456803103494,8046.456803103494,7982.149870797313,527,320.4134110845036,1173.9694675137878,7332.678185694012,8880.422093262072,25.0,353,31.9671547431132,commune
92,92012,Boulogne-Billancourt,2,7830.3156781759535,7830.3156781759535,7645.946478202642,652,371.4961327227355,1186.6686505009986,6940.817052492296,8560.2831457159,43.0,381,31.9671547431132,commune
